time,lat,lon,alt,type
2026-05-22 19:29:00+00:00,33.12604,132.50333,6.0,balloon
2026-05-22 19:30:00+00:00,33.12590290567296,132.50162049045457,306.0,balloon
2026-05-22 19:31:00+00:00,33.126250157004705,132.4986718096803,606.0,balloon
2026-05-22 19:32:00+00:00,33.12772862752213,132.49442234194942,906.0,balloon
2026-05-22 19:33:00+00:00,33.13021129697132,132.48967129303506,1206.0,balloon
2026-05-22 19:34:00+00:00,33.13324822040388,132.48528841006296,1506.0,balloon
2026-05-22 19:35:00+00:00,33.1364950884782,132.4820426554973,1806.0,balloon
2026-05-22 19:36:00+00:00,33.139611993679196,132.48039972057742,2106.0,balloon
2026-05-22 19:37:00+00:00,33.142249291490586,132.4807138147245,2406.0,balloon
2026-05-22 19:38:00+00:00,33.14430323872823,132.48362005538416,2706.0,balloon
2026-05-22 19:39:00+00:00,33.14624990373337,132.48766786095695,3006.0,balloon
2026-05-22 19:40:00+00:00,33.148373332048095,132.4922326171017,3306.0,balloon
2026-05-22 19:41:00+00:00,33.15069181578438,132.49712370301518,3606.0,balloon
2026-05-22 19:42:00+00:00,33.15321649079713,132.5021329568027,3906.0,balloon
2026-05-22 19:43:00+00:00,33.156025893491176,132.5070255741865,4206.0,balloon
2026-05-22 19:44:00+00:00,33.15920429186389,132.51158091246865,4506.0,balloon
2026-05-22 19:45:00+00:00,33.162743916761485,132.51571278272712,4806.0,balloon
2026-05-22 19:46:00+00:00,33.166631875493955,132.5195113621911,5106.0,balloon
2026-05-22 19:47:00+00:00,33.17091366186718,132.52329181444512,5406.0,balloon
2026-05-22 19:48:00+00:00,33.17569300916171,132.52734492690726,5706.0,balloon
2026-05-22 19:49:00+00:00,33.18100336935666,132.53180088748593,6006.0,balloon
2026-05-22 19:50:00+00:00,33.18650149875338,132.53663314802753,6306.0,balloon
2026-05-22 19:51:00+00:00,33.19169644788812,132.54177316648997,6606.0,balloon
2026-05-22 19:52:00+00:00,33.19633514012485,132.54712099189769,6906.0,balloon
2026-05-22 19:53:00+00:00,33.20036496967669,132.55256761229148,7206.0,balloon
2026-05-22 19:54:00+00:00,33.2041471609659,132.55817044413817,7506.0,balloon
2026-05-22 19:55:00+00:00,33.20791488303804,132.56378189678966,7806.0,balloon
2026-05-22 19:56:00+00:00,33.21190227421079,132.5691893251924,8106.0,balloon
2026-05-22 19:57:00+00:00,33.21613919567053,132.57444636684647,8406.0,balloon
2026-05-22 19:58:00+00:00,33.22053443717916,132.57970128960363,8706.0,balloon
2026-05-22 19:59:00+00:00,33.2246050180218,132.58551558965493,9006.0,balloon
2026-05-22 20:00:00+00:00,33.22784213658478,132.59208113841441,9306.0,balloon
2026-05-22 20:01:00+00:00,33.22938727985643,132.59963942817834,9606.0,balloon
2026-05-22 20:02:00+00:00,33.22956096451266,132.6085943968873,9906.0,balloon
2026-05-22 20:03:00+00:00,33.22883399320945,132.61947700906788,10206.0,balloon
2026-05-22 20:04:00+00:00,33.22748227184469,132.63168715726496,10506.0,balloon
2026-05-22 20:05:00+00:00,33.225957204673485,132.64432197787033,10806.0,balloon
2026-05-22 20:06:00+00:00,33.22419013364468,132.65715149825368,11106.0,balloon
2026-05-22 20:07:00+00:00,33.221817701286625,132.66944440279727,11406.0,balloon
2026-05-22 20:08:00+00:00,33.2188290965087,132.6811704982059,11706.0,balloon
2026-05-22 20:09:00+00:00,33.21529233170031,132.69262818015974,12006.0,balloon
2026-05-22 20:10:00+00:00,33.21121560761581,132.703907989073,12306.0,balloon
2026-05-22 20:11:00+00:00,33.207072273993724,132.71542052781874,12606.0,balloon
2026-05-22 20:12:00+00:00,33.204042828704814,132.72821572617244,12906.0,balloon
2026-05-22 20:13:00+00:00,33.20217545219319,132.74238361036504,13206.0,balloon
2026-05-22 20:14:00+00:00,33.2003296627775,132.75762241119057,13506.0,balloon
2026-05-22 20:15:00+00:00,33.197006910952354,132.77348168902282,13806.0,balloon
2026-05-22 20:16:00+00:00,33.192171220581415,132.7899072628399,14106.0,balloon
2026-05-22 20:17:00+00:00,33.18632320332725,132.80653157317397,14406.0,balloon
2026-05-22 20:18:00+00:00,33.18072543656993,132.82252790349673,14706.0,balloon
2026-05-22 20:19:00+00:00,33.17545834646757,132.83785570602038,15006.0,balloon
2026-05-22 20:20:00+00:00,33.170517875846095,132.85253022054326,15306.0,balloon
2026-05-22 20:21:00+00:00,33.16582737555995,132.86650249097443,15606.0,balloon
2026-05-22 20:22:00+00:00,33.161320174024326,132.8797123315198,15906.0,balloon
2026-05-22 20:23:00+00:00,33.15701021519305,132.89216046686744,16206.0,balloon
2026-05-22 20:24:00+00:00,33.152910909070386,132.90384771485353,16506.0,balloon
2026-05-22 20:25:00+00:00,33.14903750711885,132.9147258326375,16806.0,balloon
2026-05-22 20:26:00+00:00,33.145416922501326,132.92444899648828,17106.0,balloon
2026-05-22 20:27:00+00:00,33.142053221786355,132.93298327765604,17406.0,balloon
2026-05-22 20:28:00+00:00,33.138947829598614,132.94032825066003,17706.0,balloon
2026-05-22 20:29:00+00:00,33.13610159986396,132.94648408561235,18006.0,balloon
2026-05-22 20:30:00+00:00,33.13351480362191,132.95145153811407,18306.0,balloon
2026-05-22 20:31:00+00:00,33.131187117637324,132.95523193906638,18606.0,balloon
2026-05-22 20:32:00+00:00,33.129097552707506,132.95791863096977,18906.0,balloon
2026-05-22 20:33:00+00:00,33.12704255488088,132.96043090219797,19206.0,balloon
2026-05-22 20:34:00+00:00,33.124998145568874,132.962862261369,19506.0,balloon
2026-05-22 20:35:00+00:00,33.12296127394315,132.96521040809867,19806.0,balloon
2026-05-22 20:36:00+00:00,33.12092886792159,132.9674729668286,20106.0,balloon
2026-05-22 20:37:00+00:00,33.11889783181939,132.96964748312695,20406.0,balloon
2026-05-22 20:38:00+00:00,33.11686504389416,132.97173141982734,20706.0,balloon
2026-05-22 20:39:00+00:00,33.11483338003919,132.97369229650218,21006.0,balloon
2026-05-22 20:40:00+00:00,33.11281375523751,132.97547280164707,21306.0,balloon
2026-05-22 20:41:00+00:00,33.110808032360566,132.9770720681782,21606.0,balloon
2026-05-22 20:42:00+00:00,33.10881752253626,132.97849230792994,21906.0,balloon
2026-05-22 20:43:00+00:00,33.106843549341725,132.97973569280506,22206.0,balloon
2026-05-22 20:44:00+00:00,33.10488744793756,132.9808043570142,22506.0,balloon
2026-05-22 20:45:00+00:00,33.10295056417038,132.9817003992601,22806.0,balloon
2026-05-22 20:46:00+00:00,33.10103425364365,132.9824258848639,23106.0,balloon
2026-05-22 20:47:00+00:00,33.09913988075639,132.98298284783004,23406.0,balloon
2026-05-22 20:48:00+00:00,33.09726881771014,132.98337329284726,23706.0,balloon
2026-05-22 20:49:00+00:00,33.09542753923806,132.9836052871107,24006.0,balloon
2026-05-22 20:50:00+00:00,33.093722731295465,132.98380650682998,24306.0,balloon
2026-05-22 20:51:00+00:00,33.09221336656161,132.9840469305406,24606.0,balloon
2026-05-22 20:52:00+00:00,33.09089813383033,132.98432413563486,24906.0,balloon
2026-05-22 20:53:00+00:00,33.08977586591565,132.98463560163628,25206.0,balloon
2026-05-22 20:54:00+00:00,33.088845544712925,132.98497871262552,25506.0,balloon
2026-05-22 20:55:00+00:00,33.088106306592714,132.98535075936232,25806.0,balloon
2026-05-22 20:56:00+00:00,33.087557448150335,132.98574894110325,26106.0,balloon
2026-05-22 20:57:00+00:00,33.08719843233492,132.98617036711477,26406.0,balloon
