time,lat,lon,alt,stage
2026-05-27 12:43:00+00:00,32.95287,132.58429,60.0,ascent
2026-05-27 12:44:00+00:00,32.95178313062354,132.58411716198583,360.0,ascent
2026-05-27 12:45:00+00:00,32.95060692449606,132.58281014557468,660.0,ascent
2026-05-27 12:46:00+00:00,32.94950406659043,132.58066390983967,960.0,ascent
2026-05-27 12:47:00+00:00,32.948772624768196,132.58036185707968,1260.0,ascent
2026-05-27 12:48:00+00:00,32.94816164772874,132.5843020639926,1560.0,ascent
2026-05-27 12:49:00+00:00,32.94692023815692,132.59107944937435,1860.0,ascent
2026-05-27 12:50:00+00:00,32.94515220442734,132.5980713371704,2160.0,ascent
2026-05-27 12:51:00+00:00,32.943159175403494,132.6038482171442,2460.0,ascent
2026-05-27 12:52:00+00:00,32.94125813019373,132.6085478398083,2760.0,ascent
2026-05-27 12:53:00+00:00,32.939795177528794,132.6128670765696,3060.0,ascent
2026-05-27 12:54:00+00:00,32.93928269387395,132.6176244278006,3360.0,ascent
2026-05-27 12:55:00+00:00,32.939647094637685,132.62327090155028,3660.0,ascent
2026-05-27 12:56:00+00:00,32.94018629629401,132.62948993536008,3960.0,ascent
2026-05-27 12:57:00+00:00,32.94049618855698,132.63577898994012,4260.0,ascent
2026-05-27 12:58:00+00:00,32.94042771531657,132.6419033021324,4560.0,ascent
2026-05-27 12:59:00+00:00,32.93985210696538,132.64788650237904,4860.0,ascent
2026-05-27 13:00:00+00:00,32.93858847212555,132.65390170337463,5160.0,ascent
2026-05-27 13:01:00+00:00,32.93675357100639,132.66007898777565,5460.0,ascent
2026-05-27 13:02:00+00:00,32.934470802971035,132.66621869514609,5760.0,ascent
2026-05-27 13:03:00+00:00,32.93174013820837,132.67211425924847,6060.0,ascent
2026-05-27 13:04:00+00:00,32.92839307339508,132.67780384834293,6360.0,ascent
2026-05-27 13:05:00+00:00,32.92423410181936,132.68377206838323,6660.0,ascent
2026-05-27 13:06:00+00:00,32.91941272793581,132.69051830763502,6960.0,ascent
2026-05-27 13:07:00+00:00,32.914162573417585,132.69843470558263,7260.0,ascent
2026-05-27 13:08:00+00:00,32.908602493459455,132.70717929429188,7560.0,ascent
2026-05-27 13:09:00+00:00,32.90308056231552,132.7165523413879,7860.0,ascent
2026-05-27 13:10:00+00:00,32.897966755984655,132.7263436210195,8160.0,ascent
2026-05-27 13:11:00+00:00,32.89301297009857,132.73637613329797,8460.0,ascent
2026-05-27 13:12:00+00:00,32.888022678305,132.74668265034214,8760.0,ascent
2026-05-27 13:13:00+00:00,32.882444273830764,132.75776305562647,9060.0,ascent
2026-05-27 13:14:00+00:00,32.87617853949806,132.7698191081818,9360.0,ascent
2026-05-27 13:15:00+00:00,32.869117481108184,132.7831698680395,9660.0,ascent
2026-05-27 13:16:00+00:00,32.86133587521489,132.79763822217404,9960.0,ascent
2026-05-27 13:17:00+00:00,32.852968056875085,132.81288053594275,10260.0,ascent
2026-05-27 13:18:00+00:00,32.844154592175826,132.82868365812092,10560.0,ascent
2026-05-27 13:19:00+00:00,32.83517448774623,132.84465769194725,10860.0,ascent
2026-05-27 13:20:00+00:00,32.82603708444387,132.86069691976562,11160.0,ascent
2026-05-27 13:21:00+00:00,32.81669622138538,132.87632312291083,11460.0,ascent
2026-05-27 13:22:00+00:00,32.80715816195281,132.89148030514315,11760.0,ascent
2026-05-27 13:23:00+00:00,32.797557064717175,132.90606308404753,12060.0,ascent
2026-05-27 13:24:00+00:00,32.78798753312878,132.9200064023412,12360.0,ascent
2026-05-27 13:25:00+00:00,32.77853901468668,132.93333404601344,12660.0,ascent
2026-05-27 13:26:00+00:00,32.7699407412486,132.94624811545583,12960.0,ascent
2026-05-27 13:27:00+00:00,32.762256609236495,132.95878207233585,13260.0,ascent
2026-05-27 13:28:00+00:00,32.75544738982888,132.97095748444272,13560.0,ascent
2026-05-27 13:29:00+00:00,32.74936687982326,132.98281388895825,13860.0,ascent
2026-05-27 13:30:00+00:00,32.74399479491367,132.99435253432782,14160.0,ascent
2026-05-27 13:31:00+00:00,32.73922026269498,133.00559551976195,14460.0,ascent
2026-05-27 13:32:00+00:00,32.73381122727458,133.01681692814518,14760.0,ascent
2026-05-27 13:33:00+00:00,32.727464887793644,133.02807661304982,15060.0,ascent
2026-05-27 13:34:00+00:00,32.7201880479562,133.03936481667623,15360.0,ascent
2026-05-27 13:35:00+00:00,32.712218850633015,133.0504051561666,15660.0,ascent
2026-05-27 13:36:00+00:00,32.704307246819184,133.06033522794792,15960.0,ascent
2026-05-27 13:37:00+00:00,32.69651093170657,133.06909404590067,16260.0,ascent
2026-05-27 13:38:00+00:00,32.68883031687652,133.07668645128766,16560.0,ascent
2026-05-27 13:39:00+00:00,32.68127908932498,133.0831343984819,16860.0,ascent
2026-05-27 13:40:00+00:00,32.67405839699759,133.08870508348681,17160.0,ascent
2026-05-27 13:41:00+00:00,32.66725342204528,133.0935067435282,17460.0,ascent
