latitude,longitude,altitude,time
32.95274353119288,132.58434569792925,60.0,12:00:00
32.951611150735154,132.58509120353185,360.0,12:01:00
32.95030444266062,132.5863365586673,660.0,12:02:00
32.94898705480361,132.58759797989364,960.0,12:03:00
32.94826532548508,132.58918482419148,1260.0,12:04:00
32.94853836928645,132.59130458593756,1560.0,12:05:00
32.949741745035666,132.59382479181124,1860.0,12:06:00
32.951385209448475,132.5971873037753,2160.0,12:07:00
32.953022177204545,132.601848525053,2460.0,12:08:00
32.95452490125846,132.60743165800682,2760.0,12:09:00
32.955714196604085,132.6138074624055,3060.0,12:10:00
32.95633646813451,132.62140152218765,3360.0,12:11:00
32.95614170710909,132.63074440962436,3660.0,12:12:00
32.95495701270103,132.64184459242023,3960.0,12:13:00
32.95276964773934,132.65420899219572,4260.0,12:14:00
32.9498555847883,132.66774542001878,4560.0,12:15:00
32.94665615632929,132.68268769330453,4860.0,12:16:00
32.94313031872242,132.69890419474928,5160.0,12:17:00
32.93834503446505,132.71623497121558,5460.0,12:18:00
32.93093479676387,132.7354454779697,5760.0,12:19:00
32.92199395533841,132.75668278976988,6060.0,12:20:00
32.91278777088575,132.77890105247266,6360.0,12:21:00
32.90397335755114,132.8014818710727,6660.0,12:22:00
32.89556584694519,132.82448840278172,6960.0,12:23:00
32.887480156456206,132.84830609373296,7260.0,12:24:00
32.87953287665172,132.87334881117613,7560.0,12:25:00
32.87155280425496,132.90002036056313,7860.0,12:26:00
32.86339588441405,132.9290601548281,8160.0,12:27:00
32.855397644705704,132.95999266821448,8460.0,12:28:00
32.847924428169144,132.9920571254323,8760.0,12:29:00
32.8406860463804,133.02470757882872,9060.0,12:30:00
32.8335171527717,133.057755926577,9360.0,12:31:00
32.826068329082716,133.09195370270308,9660.0,12:32:00
32.818284375376194,133.12749087068133,9960.0,12:33:00
32.81024779562051,133.1646974928339,10260.0,12:34:00
32.8020168982315,133.20347512629647,10560.0,12:35:00
32.79411039899482,133.24285622397764,10860.0,12:36:00
32.786621021608,133.28265794968587,11160.0,12:37:00
32.77955081687205,133.32239577299916,11460.0,12:38:00
32.77291209254466,133.36179188264109,11760.0,12:39:00
32.766720865236074,133.400808660574,12060.0,12:40:00
32.7609802449603,133.43919712963043,12360.0,12:41:00
32.7556874094682,133.47694809348175,12660.0,12:42:00
32.75097315314607,133.51390516796278,12960.0,12:43:00
32.7471469671751,133.54966564948276,13260.0,12:44:00
32.7442283262238,133.5842074812125,13560.0,12:45:00
32.7421542308282,133.61761801478139,13860.0,12:46:00
32.7402604957996,133.65074692064061,14160.0,12:47:00
32.738449548528166,133.68369504614336,14460.0,12:48:00
32.736705739906604,133.71645778951998,14760.0,12:49:00
32.73492326422512,133.74861603240706,15060.0,12:50:00
32.73281059612919,133.77885331313345,15360.0,12:51:00
32.73035276907639,133.80707813908745,15660.0,12:52:00
32.727555471174725,133.83329912756884,15960.0,12:53:00
32.724427003305514,133.85753379466075,16260.0,12:54:00
32.72117874789629,133.88024571713868,16560.0,12:55:00
32.71798106981095,133.901810248273,16860.0,12:56:00
32.714833431757754,133.92223000015088,17160.0,12:57:00
32.71173516991556,133.9415073541504,17460.0,12:58:00
32.70868550725721,133.95964445103536,17760.0,12:59:00
32.70568356571793,133.9766431807435,18060.0,13:00:00
32.70272837724359,133.9925051718796,18360.0,13:01:00
32.69988940787345,134.00732897264575,18660.0,13:02:00
32.697286641800595,134.02126894463902,18960.0,13:03:00
32.69492720818272,134.03433586012545,19260.0,13:04:00
32.69281282716836,134.0465338597758,19560.0,13:05:00
32.69094520349221,134.05786632272515,19860.0,13:06:00
32.689326017496185,134.06833589051527,20160.0,13:07:00
32.68795691811597,134.07794448768382,20460.0,13:08:00
32.68677406364309,134.08681263691963,20760.0,13:09:00
32.685713418539635,134.09506005121287,21060.0,13:10:00
32.68477641591095,134.102686676906,21360.0,13:11:00
32.683964374834524,134.1096926020141,21660.0,13:12:00
32.68327849078992,134.11607807578184,21960.0,13:13:00
32.682719842097704,134.12184349944664,22260.0,13:14:00
32.68228939606157,134.12698941797836,22560.0,13:15:00
32.68198801480761,134.1315165128188,22860.0,13:16:00
32.681816460816925,134.13542559563797,23160.0,13:17:00
32.681775402150336,134.1387176031205,23460.0,13:18:00
32.68184575407506,134.1414272026753,23760.0,13:19:00
32.681801778126484,134.1439398858431,24060.0,13:20:00
32.68159249316499,134.14633619788825,24360.0,13:21:00
32.68121512524608,134.14861365892048,24660.0,13:22:00
32.680666897489395,134.15076979499324,24960.0,13:23:00
32.679945028063884,134.15280213701178,25260.0,13:24:00
32.67904672822898,134.15470821968268,25560.0,13:25:00
32.677969200427555,134.15648558051444,25860.0,13:26:00
32.67670963642585,134.15813175887882,26160.0,13:27:00
32.675394501241335,134.15951923381257,26460.0,13:28:00
32.67423409687641,134.1604436117457,26760.0,13:29:00
32.673239538191545,134.1608960369456,27060.0,13:30:00
32.67241286385213,134.16087637666007,27360.0,13:31:00
32.6717559781428,134.16038450833534,27660.0,13:32:00
32.67127065167808,134.15942032069054,27960.0,13:33:00
32.67095852244114,134.15798371473136,28260.0,13:34:00
32.6708210971454,134.15607460471497,28560.0,13:35:00
32.67085975291229,134.15369291907936,28860.0,13:36:00
32.671075739257425,134.15083860135005,29160.0,13:37:00
32.67147018037628,134.14751161103774,29460.0,13:38:00
32.672044077719356,134.14371192454115,29760.0,13:39:00
32.672651001297794,134.14027398694205,30001.40625,13:39:48
32.672651001297794,134.14027398694205,30001.40625,13:39:48
32.67223345371994,134.13923576640656,25797.56399606029,13:40:48
32.67190447381476,134.1419380947254,22697.34363673158,13:41:48
32.67107729765105,134.1491379205033,20210.87682182914,13:42:48
32.66867869573826,134.16216384896077,18131.388209407036,13:43:48
32.66545999636171,134.18185974008722,16344.200148676142,13:44:48
32.66308176699346,134.20979894429897,14777.17438412277,13:45:48
32.6611592716147,134.243315358516,13381.968365894205,13:46:48
32.65646773845697,134.2806192866339,12124.598494129286,13:47:48
32.649954778550445,134.32032092705217,10980.11844558406,13:48:48
32.64197576277163,134.358615483472,9920.973415369679,13:49:48
32.63447863313863,134.39249833710167,8926.878185624048,13:50:48
32.626710435291365,134.42280384074374,7988.775205681586,13:51:48
32.61909897109079,134.44908753871337,7099.465914190151,13:52:48
32.61117122971806,134.47292429848235,6253.123838313821,13:53:48
32.603397473888336,134.49332754301383,5444.9591704032955,13:54:48
32.5992038567082,134.50997228359435,4670.981169698264,13:55:48
32.5968562137668,134.523669397721,3927.825781692209,13:56:48
32.596464040196715,134.53374828074686,3212.627945589795,13:57:48
32.597938369794406,134.54083944189543,2522.9252635049984,13:58:48
32.60003999633034,134.54561931332128,1856.5841467820826,13:59:48
32.60266580357344,134.5496534601449,1211.742374975452,14:00:48
32.60480916068817,134.55406119301503,586.7638404655612,14:01:48
32.606464434413766,134.5585332245405,3.8962799901006413,14:02:45
