time,lat,lon,alt,stage
2026-05-27 12:49:00+00:00,33.13492,132.50477,6.0,ascent
2026-05-27 12:50:00+00:00,33.13446614261857,132.504791163853,306.0,ascent
2026-05-27 12:51:00+00:00,33.13410212914473,132.50412431750755,606.0,ascent
2026-05-27 12:52:00+00:00,33.133815551764705,132.50246669404243,906.0,ascent
2026-05-27 12:53:00+00:00,33.133733541572326,132.5014298003712,1206.0,ascent
2026-05-27 12:54:00+00:00,33.133747245305585,132.50365762361494,1506.0,ascent
2026-05-27 12:55:00+00:00,33.13296230405381,132.50912660984523,1806.0,ascent
2026-05-27 12:56:00+00:00,33.13142961022254,132.51575535190102,2106.0,ascent
2026-05-27 12:57:00+00:00,33.129523497558054,132.52144252478246,2406.0,ascent
2026-05-27 12:58:00+00:00,33.12761712103937,132.52593967524297,2706.0,ascent
2026-05-27 12:59:00+00:00,33.12602631679472,132.52990298939136,3006.0,ascent
2026-05-27 13:00:00+00:00,33.12524303720396,132.53422574138912,3306.0,ascent
2026-05-27 13:01:00+00:00,33.125415026459116,132.53948106408274,3606.0,ascent
2026-05-27 13:02:00+00:00,33.1259036902512,132.5452789445399,3906.0,ascent
2026-05-27 13:03:00+00:00,33.12620244381298,132.5511053849977,4206.0,ascent
2026-05-27 13:04:00+00:00,33.12610567762652,132.55667814864302,4506.0,ascent
2026-05-27 13:05:00+00:00,33.12551572761847,132.56215012230447,4806.0,ascent
2026-05-27 13:06:00+00:00,33.12427791808574,132.5677756751971,5106.0,ascent
2026-05-27 13:07:00+00:00,33.122447777332354,132.5736970252858,5406.0,ascent
2026-05-27 13:08:00+00:00,33.12014560851542,132.579743901296,5706.0,ascent
2026-05-27 13:09:00+00:00,33.117423283389186,132.58559734181713,6006.0,ascent
2026-05-27 13:10:00+00:00,33.11414231244707,132.59128951679887,6306.0,ascent
2026-05-27 13:11:00+00:00,33.11016699334166,132.59730192727758,6606.0,ascent
2026-05-27 13:12:00+00:00,33.105536473356295,132.60409181454486,6906.0,ascent
2026-05-27 13:13:00+00:00,33.100471001935986,132.6120668108297,7206.0,ascent
2026-05-27 13:14:00+00:00,33.09506429132483,132.62084428486634,7506.0,ascent
2026-05-27 13:15:00+00:00,33.08957310615101,132.63014131523695,7806.0,ascent
2026-05-27 13:16:00+00:00,33.084485132707684,132.63963463048793,8106.0,ascent
2026-05-27 13:17:00+00:00,33.07967377642529,132.6493151257916,8406.0,ascent
2026-05-27 13:18:00+00:00,33.074993114643945,132.65921615876007,8706.0,ascent
2026-05-27 13:19:00+00:00,33.069882902113974,132.66970488818345,9006.0,ascent
2026-05-27 13:20:00+00:00,33.06416596491749,132.6809948197384,9306.0,ascent
2026-05-27 13:21:00+00:00,33.057568404887874,132.69366499364193,9606.0,ascent
2026-05-27 13:22:00+00:00,33.05011847342873,132.70768941413772,9906.0,ascent
2026-05-27 13:23:00+00:00,33.04198762312016,132.722793172889,10206.0,ascent
2026-05-27 13:24:00+00:00,33.033273359109764,132.73881240232578,10506.0,ascent
2026-05-27 13:25:00+00:00,33.02433520830997,132.75523380455581,10806.0,ascent
2026-05-27 13:26:00+00:00,33.01521496181914,132.77195303006582,11106.0,ascent
2026-05-27 13:27:00+00:00,33.00586624446465,132.7884201944746,11406.0,ascent
2026-05-27 13:28:00+00:00,32.99627204385214,132.8044832852471,11706.0,ascent
2026-05-27 13:29:00+00:00,32.98653668653503,132.81998966870827,12006.0,ascent
2026-05-27 13:30:00+00:00,32.97678454781351,132.83478109683918,12306.0,ascent
2026-05-27 13:31:00+00:00,32.96708754489945,132.84887126753375,12606.0,ascent
2026-05-27 13:32:00+00:00,32.9582565938006,132.86248293257282,12906.0,ascent
2026-05-27 13:33:00+00:00,32.95052961170269,132.87570075792132,13206.0,ascent
2026-05-27 13:34:00+00:00,32.943871277226265,132.88855407130845,13506.0,ascent
2026-05-27 13:35:00+00:00,32.937915401179005,132.90115175568573,13806.0,ascent
2026-05-27 13:36:00+00:00,32.932588143789815,132.91350822982966,14106.0,ascent
2026-05-27 13:37:00+00:00,32.92782544063695,132.92562880824244,14406.0,ascent
2026-05-27 13:38:00+00:00,32.92268237885005,132.93764456467628,14706.0,ascent
2026-05-27 13:39:00+00:00,32.9166636863696,132.94961951278418,15006.0,ascent
